lambda	acc_train_mean	acc_dev_mean	acc_dev_all
3.0517578125e-05	0.703503181312001	0.700499062521803	0.700423903670565
6.103515625e-05	0.703503181311956	0.700499063917829	0.700423905086119
0.0001220703125	0.703503181311779	0.700499066709782	0.700423907917127
0.000244140625	0.703503181311071	0.700499072293281	0.700423913578737
0.00048828125	0.703503181308238	0.700499083458662	0.700423924900341
0.0009765625	0.703503181296906	0.700499105782943	0.700423947537073
0.001953125	0.703503181251579	0.700499150405597	0.700423992784644
0.00390625	0.703503181070291	0.700499239547282	0.700424083176225
0.0078125	0.70350318034529	0.700499417416297	0.700424263545282
0.015625	0.703503177446495	0.700499771497948	0.700424622628017
0.03125	0.703503165860987	0.700500473044122	0.700425334180346
0.0625	0.703503119596166	0.700501849734847	0.700426730899266
0.125	0.703502935152062	0.700504498042414	0.700429419326183
0.25	0.703502202257412	0.700509378581793	0.700434380351613
0.5	0.703499309108948	0.700517508472413	0.700442672168436
1	0.703488034308967	0.700527498508478	0.700452989600604
2	0.703445173148336	0.700524292418402	0.700450450442311
4	0.703289604573454	0.700438236632568	0.700365762864964
8	0.702768866054038	0.700027379700129	0.699957692368602
16	0.701233189315863	0.698641939007644	0.698577606658991
32	0.69739106050591	0.694978511660856	0.69492286880479
64	0.689182916028001	0.686973986269339	0.686928256234827
128	0.673260496244451	0.671286885011771	0.671246567744605
256	0.643753478400762	0.642024458902716	0.641981695804421
512	0.593014447599179	0.591496730669278	0.591448693105388
1024	0.517560388288764	0.516231038523887	0.516184076418341
2048	0.423030621291807	0.421923363233856	0.421886181837475
4096	0.318834917490485	0.317997050357299	0.317969902631809
8192	0.20425694385994	0.203682059119538	0.203658556777457
16384	0.0403257805134277	0.0399079119986705	0.0399204853613796
32768	-0.298952289994356	-0.29950807846603	-0.299252344525672
