lambda	acc_train_mean	acc_dev_mean	acc_dev_all
3.0517578125e-05	0.702325533203614	0.698955286615057	0.699135016364084
6.103515625e-05	0.702325533203571	0.698955287830521	0.699135017618364
0.0001220703125	0.702325533203401	0.698955290261353	0.699135020126829
0.000244140625	0.702325533202719	0.698955295122629	0.699135025143371
0.00048828125	0.702325533199993	0.698955304843634	0.699135035174904
0.0009765625	0.702325533189088	0.698955324279448	0.699135055231767
0.001953125	0.702325533145469	0.698955363126303	0.699135095320687
0.00390625	0.702325532971013	0.698955440720934	0.69913517539931
0.0078125	0.702325532273334	0.698955595514	0.699135335159818
0.015625	0.702325529483779	0.698955903516361	0.699135653094897
0.03125	0.702325518334832	0.698956513194016	0.699136282629329
0.0625	0.702325473813086	0.69895770730511	0.699137516419392
0.125	0.702325296316074	0.698959995060345	0.699139883394728
0.25	0.702324591010327	0.6989641727437	0.69914421897073
0.5	0.702321806656068	0.69897096851969	0.699151328371498
1	0.702310955063341	0.698978566077815	0.699159544762553
2	0.702269698527846	0.698971600640333	0.699153784952698
4	0.702119942841772	0.698881609312893	0.699066087455463
8	0.70161874865538	0.698474152671357	0.698662809429002
16	0.70014190030204	0.6971254371636	0.697321098736333
32	0.696451274175671	0.693593964088122	0.693799479095876
64	0.688556837751444	0.685903653251586	0.686118372733474
128	0.673124263814223	0.670738113746695	0.670953358786607
256	0.644169220833868	0.642081505462834	0.642282200434073
512	0.593843986490698	0.59202222233374	0.592197121945286
1024	0.518492810107065	0.516898801821759	0.517048489126547
2048	0.42374161078306	0.422394677326975	0.422526340578217
4096	0.319211845528143	0.318157081224623	0.318272086905244
8192	0.204441918072297	0.203678462809671	0.203772028447678
16384	0.0405534472170815	0.0399641805756083	0.0400857111780399
32768	-0.298448535455904	-0.29925012330962	-0.298798671652305
