lambda	acc_train_mean	acc_dev_mean	acc_dev_all
3.0517578125e-05	0.700507753499845	0.69753184553936	0.697377389442278
6.103515625e-05	0.700507753499801	0.697531846960391	0.697377390937807
0.0001220703125	0.700507753499626	0.69753184980235	0.697377393928761
0.000244140625	0.700507753498925	0.697531855485861	0.697377399910259
0.00048828125	0.70050775349612	0.69753186685125	0.697377411871617
0.0009765625	0.700507753484902	0.697531889575496	0.697377435787779
0.001953125	0.700507753440034	0.697531934997864	0.697377483593888
0.00390625	0.700507753260578	0.697532025738124	0.697377579101266
0.0078125	0.700507752542906	0.697532206800865	0.697377769696791
0.015625	0.700507749673422	0.697532567256318	0.697378149212001
0.03125	0.700507738205109	0.697533281495694	0.697378901547679
0.0625	0.700507692408691	0.697534683356871	0.697380379508809
0.125	0.700507509835216	0.697537381154671	0.697383229137509
0.25	0.700506784399793	0.697542357375905	0.697388507557141
0.5	0.700503920910958	0.697550666250793	0.697397415074372
1	0.700492763463027	0.697560970984423	0.697408894838324
2	0.700450363181796	0.697558267034193	0.697408457595373
4	0.700296589577425	0.697473013753703	0.69732744343317
8	0.699782792016139	0.697064658970039	0.696926626677283
16	0.698273313733514	0.695693951551021	0.695568391610524
32	0.694520051706217	0.692101299318042	0.691994507825509
64	0.686548543063578	0.684317041223719	0.684235088819479
128	0.671074423403132	0.669068198584866	0.669014414761824
256	0.642146623257947	0.640372887147995	0.640347495601012
512	0.591883164899514	0.590297244833886	0.590299569607173
1024	0.516599601243156	0.515170623275368	0.515199049026596
2048	0.421970833053877	0.420741234417274	0.420788344282109
4096	0.317656974305725	0.3166977781697	0.316745248318499
8192	0.203143072981143	0.202472900001028	0.202497534211413
16384	0.0393475264640469	0.0388700638746327	0.0388990955487122
32768	-0.300120681585882	-0.300743525672241	-0.300457777483744
