lambda	acc_train_mean	acc_dev_mean	acc_dev_all
3.0517578125e-05	0.702509570350909	0.698808340048385	0.69833700820283
6.103515625e-05	0.702509570350864	0.698808341897156	0.698337010197496
0.0001220703125	0.702509570350684	0.698808345594594	0.698337014186722
0.000244140625	0.702509570349964	0.698808352989049	0.698337022164753
0.00048828125	0.702509570347084	0.698808367776283	0.698337038119128
0.0009765625	0.702509570335566	0.698808397344047	0.698337070021136
0.001953125	0.702509570289493	0.69880845645276	0.698337133798181
0.00390625	0.702509570105223	0.698808574562945	0.698337261244411
0.0078125	0.702509569368311	0.69880881035449	0.698337515705574
0.015625	0.702509566421998	0.698809280223463	0.698338022903891
0.03125	0.702509554647441	0.698810213114289	0.698339030413891
0.0625	0.702509507634556	0.698812051582123	0.698341017962402
0.125	0.702509320262762	0.698815619856631	0.69834488377063
0.25	0.702508576166042	0.69882232646428	0.698352182959307
0.5	0.702505642156776	0.698834056762031	0.698365088661312
1	0.702494233636686	0.698851068520227	0.698384413622535
2	0.702451048481148	0.698861382936672	0.698399214318766
4	0.702295515866952	0.69880144788549	0.698347759181359
8	0.701781621433279	0.698444527015644	0.698006211028402
16	0.700294161632793	0.697186554314457	0.696774379621483
32	0.696646866884657	0.693835885966248	0.693464018471747
64	0.688938696477964	0.686476386188376	0.686158569218056
128	0.673867062816587	0.671781804437491	0.671526340942961
256	0.645359065598397	0.643625123791304	0.643433974101376
512	0.595424121535465	0.593956847424812	0.5938265186747
1024	0.520324853714202	0.51905605448959	0.518977327487265
2048	0.425633994617416	0.424571607160349	0.424531688227902
4096	0.320909838400618	0.320093461966053	0.320077752287933
8192	0.205763404263648	0.205188511159602	0.205184855396542
16384	0.0415369806248677	0.0410976152026976	0.0411416477124872
32768	-0.297487513732919	-0.298105452173384	-0.297783569800848
