lambda	acc_train_mean	acc_dev_mean	acc_dev_all
3.0517578125e-05	0.705257043930446	0.701405574753316	0.701582936425247
6.103515625e-05	0.705257043930397	0.701405576998973	0.701582938710568
0.0001220703125	0.705257043930201	0.701405581490168	0.701582943281091
0.000244140625	0.70525704392942	0.701405590472083	0.701582952421659
0.00048828125	0.705257043926293	0.701405608434013	0.701582970700889
0.0009765625	0.705257043913788	0.701405644350274	0.701583007251724
0.001953125	0.705257043863771	0.701405716152397	0.701583080322892
0.00390625	0.705257043663726	0.701405859635072	0.70158322634325
0.0078125	0.705257042863733	0.70140614611431	0.701583517896213
0.015625	0.705257039665255	0.701406717129712	0.701584099052515
0.03125	0.705257026883282	0.701407851399207	0.701585253577642
0.0625	0.705256975850704	0.701410088980605	0.701587531565894
0.125	0.705256772479504	0.701414441010422	0.701591963993901
0.25	0.705255965014056	0.701422658058092	0.701600340192614
0.5	0.705252782466187	0.701437187337382	0.701615181323737
1	0.705240417822955	0.701458958245511	0.701637551139636
2	0.705193690798253	0.701475792318748	0.701655491244378
4	0.705025952640332	0.701419298134211	0.701600892452006
8	0.704475274168248	0.701044646947515	0.701229065789256
16	0.702900495558935	0.69971291826372	0.699900556254926
32	0.699116381827244	0.6962227061379	0.696412100384998
64	0.691317618496704	0.688751401643617	0.688937931536796
128	0.676321594852135	0.674098009313182	0.674274210253667
256	0.64798372509957	0.646079841566705	0.646238881409421
512	0.598078404856628	0.596432975038644	0.596574212916434
1024	0.522722669395919	0.521287671405081	0.521418729425245
2048	0.427580613255557	0.426364204792786	0.426494231400999
4096	0.322430842748998	0.32146644107234	0.321593930445444
8192	0.207032223048581	0.206325015343853	0.206432511435673
16384	0.0429050450420197	0.0423902377659788	0.0424790692734528
32768	-0.295219847554063	-0.295765140661393	-0.295549284815683
