lambda	acc_train_mean	acc_dev_mean	acc_dev_all
3.0517578125e-05	0.703933207657443	0.701348584362718	0.700901319766924
6.103515625e-05	0.703933207657396	0.701348585291026	0.700901320779252
0.0001220703125	0.703933207657209	0.701348587147537	0.700901322803802
0.000244140625	0.703933207656462	0.701348590860144	0.700901326852489
0.00048828125	0.703933207653471	0.701348598283695	0.700901334948203
0.0009765625	0.70393320764151	0.701348613124147	0.700901351132991
0.001953125	0.703933207593669	0.701348642778458	0.700901383476015
0.00390625	0.703933207402325	0.701348701980721	0.700901448055875
0.0078125	0.703933206637118	0.701348819959954	0.700901576790981
0.015625	0.703933203577639	0.701349054218393	0.700901832563882
0.03125	0.703933191350506	0.701349515944364	0.700902337329621
0.0625	0.703933142528052	0.701350412306043	0.700903319814046
0.125	0.703932947923968	0.701352097252274	0.700905177177362
0.25	0.703932174947742	0.701355040660833	0.700908466096472
0.5	0.703929125844369	0.701359257804326	0.700913376887571
1	0.703917260728544	0.701361292182178	0.700916808447995
2	0.703872284594503	0.701341823870565	0.700900169319882
4	0.703709926932233	0.701222922786584	0.700787031470058
8	0.703171790741009	0.700750598119531	0.700326428453795
16	0.701610174157262	0.699275994676016	0.698874891711218
32	0.697787070979924	0.695563651854268	0.695203564068079
64	0.689778492114138	0.687712576907611	0.687413054415191
128	0.674320333722649	0.67247508823399	0.67224645824684
256	0.64537663994975	0.643774933775357	0.643613374363214
512	0.594983191462608	0.593585905369219	0.593478298460107
1024	0.519457676181702	0.518231257096308	0.51816083564907
2048	0.424452777145037	0.423424840758403	0.42337469397891
4096	0.31959562405985	0.318814859067817	0.318770301780196
8192	0.204462936323757	0.203927395327016	0.203883122054926
16384	0.0403055869722344	0.0398995772675929	0.0399097631093215
32768	-0.298641864412675	-0.299268384877925	-0.29893245737274
