lambda	acc_train_mean	acc_dev_mean	acc_dev_all
3.0517578125e-05	0.700394408000346	0.696458152689747	0.696772395199552
6.103515625e-05	0.700394408000302	0.6964581542101	0.696772396743169
0.0001220703125	0.700394408000128	0.696458157250705	0.696772399830301
0.000244140625	0.700394407999433	0.696458163331519	0.696772406004172
0.00048828125	0.70039440799665	0.69645817549155	0.696772418350321
0.0009765625	0.700394407985521	0.696458199805234	0.696772443036258
0.001953125	0.700394407941008	0.696458248407083	0.696772492382694
0.00390625	0.700394407762972	0.696458345508729	0.696772590973821
0.0078125	0.700394407050977	0.696458539303938	0.696772787749233
0.015625	0.70039440420418	0.696458925263044	0.696773179673695
0.03125	0.700394392826457	0.696459690664184	0.696773957025315
0.0625	0.700394347391134	0.696461195463396	0.696775485804267
0.125	0.700394166252001	0.696464101568926	0.696778440182077
0.25	0.700393446474958	0.696469503924718	0.696783940315238
0.5	0.700390605008122	0.696478701538479	0.696793338270946
1	0.700379531064217	0.696490917586542	0.696805973045759
2	0.700337432526715	0.696492486875899	0.696808443800269
4	0.70018466419921	0.696417054318826	0.696735014470818
8	0.699673871503054	0.696030811919709	0.696353249925889
16	0.698172803488641	0.694705573361257	0.695037352500016
32	0.694444223372741	0.691196210793254	0.691544043389926
64	0.686540603830928	0.683553095147218	0.683920239412385
128	0.671196798227757	0.668512338672707	0.668891189339121
256	0.64241818401927	0.640047016107945	0.640419899350941
512	0.592254624765137	0.59015987221123	0.590509559112009
1024	0.517013486697141	0.515170413155867	0.515487850237201
2048	0.422436218262808	0.420881253739104	0.421162262518072
4096	0.318265936707922	0.317051621682284	0.317288374377617
8192	0.203959597026944	0.203086533541997	0.20326498858012
16384	0.0404751353246623	0.0398482244133222	0.0399884338018713
32768	-0.298166380174593	-0.298841828087001	-0.298534330227013
