lambda	acc_train_mean	acc_dev_mean	acc_dev_all
3.0517578125e-05	0.706336473574926	0.70377080927604	0.703526827234968
6.103515625e-05	0.706336473574882	0.703770810439813	0.703526828479588
0.0001220703125	0.706336473574704	0.703770812767257	0.703526830968725
0.000244140625	0.706336473573991	0.703770817421737	0.70352683594659
0.00048828125	0.706336473571141	0.703770826729056	0.703526845900676
0.0009765625	0.706336473559741	0.703770845337141	0.703526865802288
0.001953125	0.706336473514144	0.703770882527102	0.703526905579259
0.00390625	0.706336473331773	0.703770956802203	0.703526985028219
0.0078125	0.706336472602446	0.703771104933254	0.703527143506344
0.015625	0.706336469686376	0.703771399519849	0.703527458784512
0.03125	0.706336458031976	0.703771981999796	0.703528082637314
0.0625	0.706336411493284	0.703773120256785	0.703529303598986
0.125	0.706336225967181	0.703775290516846	0.703531639105319
0.25	0.706335488851194	0.70377921043876	0.703535888875369
0.5	0.706332579651524	0.703785402536045	0.703542738152566
1	0.706321247026933	0.70379146224582	0.703550102609084
2	0.706278201296091	0.703780257624284	0.703541472116679
4	0.706122209406963	0.70367816054388	0.703444399928596
8	0.70560159593816	0.703237562890492	0.703013437822044
16	0.704074291171506	0.701809693655142	0.701603390728066
32	0.700283848363259	0.698128624999119	0.697952653618619
64	0.692255623796976	0.690234480092647	0.690102680796348
128	0.676702033724243	0.674862819879036	0.674783529799865
256	0.647574964060324	0.645937190175836	0.645909819321789
512	0.596832201700338	0.595360448001132	0.595378943448691
1024	0.520840866127456	0.519507327845005	0.519564373088197
2048	0.425504611249221	0.424342440541846	0.424429284171375
4096	0.320544258804573	0.319609604397634	0.319712448300273
8192	0.205345130879115	0.204650963074709	0.204752627285378
16384	0.0407553487458907	0.0402253474781164	0.0403414651100951
32768	-0.299824148469563	-0.300434375927498	-0.30013767791739
