lambda	acc_train_mean	acc_dev_mean	acc_dev_all
3.0517578125e-05	0.704581447003629	0.700377222491868	0.700588939045076
6.103515625e-05	0.704581447003583	0.700377224570069	0.70058894113815
0.0001220703125	0.704581447003402	0.700377228726362	0.700588945324192
0.000244140625	0.704581447002676	0.70037723703851	0.700588953695838
0.00048828125	0.704581446999772	0.700377253661048	0.700588970437385
0.0009765625	0.704581446988156	0.700377286899103	0.700589003913501
0.001953125	0.704581446941696	0.700377353347122	0.700589070837822
0.00390625	0.704581446755878	0.700377486130822	0.700589204574835
0.0078125	0.704581446012769	0.700377751249022	0.700589471602505
0.015625	0.704581443041651	0.700378279689825	0.700590003873614
0.03125	0.704581431167713	0.700379329398736	0.700591061288525
0.0625	0.704581383756054	0.700381400203037	0.700593147685753
0.125	0.704581194779271	0.700385427972498	0.700597207359789
0.25	0.704580444185153	0.700393033023724	0.700604879055689
0.5	0.70457748359299	0.700406479332337	0.700618469687776
1	0.704565964393101	0.700426609831211	0.700638930613247
2	0.704522307464517	0.700441986527553	0.700655117997447
4	0.70436472984211	0.700388040304265	0.700603275580422
8	0.703842189451594	0.700030264215935	0.700250954462843
16	0.70232228904313	0.698739423882252	0.698972932026955
32	0.698580234389081	0.695277601442943	0.695535412687893
64	0.690681121220596	0.687699167866517	0.687990249297377
128	0.675369520678431	0.67273782639281	0.673058076240764
256	0.6467197840451	0.644426090925109	0.644757489095767
512	0.596856803653375	0.594842277188494	0.595164306123972
1024	0.521950447790282	0.520179789306719	0.520477270377248
2048	0.427327984618112	0.425839456065011	0.426099381761531
4096	0.322417828451594	0.321269632887042	0.321476033066254
8192	0.206977130973118	0.2061749482338	0.206308481745379
16384	0.0427916754571648	0.0422410008215073	0.0423225608034078
32768	-0.295082631600129	-0.295699337229864	-0.295439316923393
