1	4	0	NO_FILE
2	5	0	NO_FILE
3	6	0	NO_FILE
4	7	0	NO_FILE
5	8	0	NO_FILE
6	9	0	NO_FILE
7	10	0	NO_FILE
8	11	0	NO_FILE
9	12	0	NO_FILE
10	13	0	NO_FILE
11	14	0	NO_FILE
12	15	0	NO_FILE
13	16	0	NO_FILE
14	17	0	NO_FILE
15	18	0	NO_FILE
16	19	0	NO_FILE
17	20	0	NO_FILE
18	21	0	NO_FILE
19	22	0	NO_FILE
20	23	0	NO_FILE
21	24	0	NO_FILE
22	25	0	NO_FILE
23	26	0	NO_FILE
24	27	0	NO_FILE
25	28	0	NO_FILE
26	29	0	NO_FILE
27	30	0	NO_FILE
28	31	0	NO_FILE
29	32	0	NO_FILE
30	33	0	NO_FILE
31	34	0	NO_FILE
32	35	0	NO_FILE
33	36	0	NO_FILE
34	37	0	NO_FILE
35	38	0	NO_FILE
36	39	0	NO_FILE
37	40	0	NO_FILE
